dt,steer_deg,speed_pwm,yaw_deg
0.03339338302612305,25.0,50.0,-118.00840228701422
0.033391475677490234,25.0,50.0,-118.25351021227802
0.03339815139770508,25.0,50.0,-118.25351021227802
0.03339529037475586,25.0,50.0,-118.5659405780516
0.03339433670043945,25.0,50.0,-118.79231038336219
0.033399343490600586,25.0,50.0,-118.79231038336219
0.03340291976928711,25.0,50.0,-119.10699090268966
0.03339433670043945,25.0,50.0,-119.10699090268966
0.033393144607543945,25.0,50.0,-119.36937656667168
0.03685593605041504,25.0,50.0,-119.66426203021916
0.03339195251464844,25.0,50.0,-119.66426203021916
0.03339195251464844,25.0,50.0,-119.95724486686454
0.03339719772338867,25.0,50.0,-119.95724486686454
0.03339219093322754,25.0,50.0,-120.24752071796621
0.033393144607543945,25.0,50.0,-120.51669060446505
0.03339242935180664,25.0,50.0,-120.51669060446505
0.03339338302612305,25.0,50.0,-120.76709995928567
0.035483598709106445,25.0,50.0,-121.06251894167828
0.03339242935180664,25.0,50.0,-121.06251894167828
0.03339576721191406,25.0,50.0,-121.3614573702451
0.03339266777038574,25.0,50.0,-121.3614573702451
0.03339886665344238,25.0,50.0,-121.65614870899559
0.03339338302612305,25.0,50.0,-121.93417748373952
0.03339815139770508,25.0,50.0,-121.93417748373952
0.033391475677490234,25.0,50.0,-122.21944937577513
0.03339242935180664,25.0,50.0,-122.21944937577513
0.03339362144470215,25.0,50.0,-122.50228509328156
0.03339266777038574,25.0,50.0,-122.80772123684834
0.033392906188964844,25.0,50.0,-122.80772123684834
0.033391714096069336,25.0,50.0,-123.1351364410607
0.03339266777038574,25.0,50.0,-123.4195326536136
0.03339052200317383,25.0,50.0,-123.4195326536136
0.03339838981628418,25.0,50.0,-123.72529817583467
0.03339886665344238,25.0,50.0,-123.72529817583467
0.03339409828186035,25.0,50.0,-124.02949011893774
0.03339099884033203,25.0,50.0,-124.2981495465619
0.03339076042175293,25.0,50.0,-124.2981495465619
0.03339076042175293,25.0,50.0,-124.62539406724702
0.03339433670043945,25.0,50.0,-124.62539406724702
0.03339362144470215,25.0,50.0,-124.87916447497226
0.03339076042175293,25.0,50.0,-125.1641411618128
0.033390045166015625,25.0,50.0,-125.1641411618128
0.03339028358459473,25.0,50.0,-125.40501549339736
0.03339385986328125,25.0,50.0,-125.40501549339736
0.033393144607543945,25.0,50.0,-125.6831455685479
0.03339052200317383,25.0,50.0,-125.92119623524994
0.03338956832885742,25.0,50.0,-125.92119623524994
0.03339052200317383,25.0,50.0,-126.14172449597261
0.03585410118103027,25.0,50.0,-126.37412720374721
0.03339028358459473,25.0,50.0,-126.37412720374721
0.03338909149169922,25.0,50.0,-126.63090486360446
0.03339099884033203,25.0,50.0,-126.63090486360446
0.033391475677490234,25.0,50.0,-126.84411357573131
0.03338885307312012,25.0,50.0,-127.06370071044185
0.033402442932128906,25.0,50.0,-127.06370071044185
0.033400774002075195,25.0,50.0,-127.32122033692542
